算法,规模,运行次数,时间μs,内存KB
IS,100,1,221.9,0.0
IS,100,2,221.4,0.0
IS,100,3,220.6,0.0
IS,100,4,227.8,0.05
IS,100,5,342.8,0.05
IS,100,6,217.6,0.05
IS,100,7,315.7,0.05
IS,100,8,141.5,0.05
IS,100,9,146.3,0.05
IS,100,10,147.2,0.05
TDM,100,1,476.1,2.9
TDM,100,2,444.2,2.9
TDM,100,3,423.6,2.9
TDM,100,4,1118.2,2.9
TDM,100,5,961.2,2.9
TDM,100,6,961.2,2.92
TDM,100,7,469.6,2.92
TDM,100,8,388.2,2.92
TDM,100,9,403.2,2.92
TDM,100,10,344.1,2.92
BUM,100,1,146.2,0.81
BUM,100,2,108.7,0.78
BUM,100,3,105.9,0.78
BUM,100,4,110.2,0.78
BUM,100,5,143.1,0.78
BUM,100,6,105.9,0.8
BUM,100,7,109.7,0.8
BUM,100,8,112.4,0.8
BUM,100,9,107.0,0.8
BUM,100,10,102.7,0.8
RQ,100,1,94.9,0.2
RQ,100,2,98.4,0.2
RQ,100,3,124.2,0.2
RQ,100,4,100.0,0.2
RQ,100,5,92.3,0.2
RQ,100,6,90.0,0.25
RQ,100,7,101.8,0.25
RQ,100,8,93.3,0.25
RQ,100,9,91.4,0.25
RQ,100,10,104.4,0.25
QD3P,100,1,77.1,0.2
QD3P,100,2,74.5,0.2
QD3P,100,3,76.2,0.2
QD3P,100,4,74.7,0.2
QD3P,100,5,74.6,0.2
QD3P,100,6,74.4,0.25
QD3P,100,7,75.7,0.25
QD3P,100,8,78.4,0.25
QD3P,100,9,74.2,0.25
QD3P,100,10,75.9,0.25
IS,1000,1,22578.4,0.0
IS,1000,2,21987.2,0.0
IS,1000,3,21621.1,0.0
IS,1000,4,21749.7,0.0
IS,1000,5,22173.5,0.0
IS,1000,6,23438.0,0.05
IS,1000,7,22284.8,0.05
IS,1000,8,21834.2,0.05
IS,1000,9,21803.5,0.05
IS,1000,10,21820.2,0.05
TDM,1000,1,3381.7,17.7
TDM,1000,2,3403.3,17.7
TDM,1000,3,3504.9,17.7
TDM,1000,4,3612.2,17.7
TDM,1000,5,4373.7,17.7
TDM,1000,6,5633.5,17.72
TDM,1000,7,4664.4,17.72
TDM,1000,8,4152.2,17.72
TDM,1000,9,3770.0,17.72
TDM,1000,10,3438.3,17.72
BUM,1000,1,1780.5,7.81
BUM,1000,2,1909.2,7.81
BUM,1000,3,1833.1,7.81
BUM,1000,4,1853.4,7.81
BUM,1000,5,1841.4,7.81
BUM,1000,6,2078.7,7.84
BUM,1000,7,1867.2,7.84
BUM,1000,8,2240.7,7.84
BUM,1000,9,2368.9,7.84
BUM,1000,10,2289.3,7.84
RQ,1000,1,1938.7,1.05
RQ,1000,2,1917.3,0.2
RQ,1000,3,2073.9,0.42
RQ,1000,4,2124.1,0.2
RQ,1000,5,2484.7,0.2
RQ,1000,6,2521.4,0.25
RQ,1000,7,2781.2,0.28
RQ,1000,8,2671.4,0.69
RQ,1000,9,2080.5,0.25
RQ,1000,10,1917.6,0.25
QD3P,1000,1,1374.2,0.2
QD3P,1000,2,1353.5,0.2
QD3P,1000,3,1450.1,0.2
QD3P,1000,4,1870.2,0.2
QD3P,1000,5,1654.0,0.2
QD3P,1000,6,1745.8,0.25
QD3P,1000,7,1525.7,0.25
QD3P,1000,8,1982.2,0.25
QD3P,1000,9,1363.7,0.25
QD3P,1000,10,1506.4,0.25
IS,5000,1,615871.5,0.0
IS,5000,2,613442.8,0.0
IS,5000,3,598755.7,0.0
IS,5000,4,594768.0,0.0
IS,5000,5,600739.6,0.0
IS,5000,6,594470.5,0.05
IS,5000,7,601236.3,0.05
IS,5000,8,602591.7,0.05
IS,5000,9,594016.7,0.05
IS,5000,10,615477.4,0.05
TDM,5000,1,19538.1,83.07
TDM,5000,2,19594.9,83.07
TDM,5000,3,19632.3,83.07
TDM,5000,4,19836.8,83.07
TDM,5000,5,20063.9,83.07
TDM,5000,6,19530.6,83.09
TDM,5000,7,18927.5,83.09
TDM,5000,8,19346.9,83.09
TDM,5000,9,19138.5,83.09
TDM,5000,10,19449.1,83.09
BUM,5000,1,11619.9,39.06
BUM,5000,2,11726.3,39.06
BUM,5000,3,11578.5,39.06
BUM,5000,4,11972.5,39.06
BUM,5000,5,11557.3,39.06
BUM,5000,6,12594.8,39.09
BUM,5000,7,12246.9,39.09
BUM,5000,8,12131.7,39.09
BUM,5000,9,12552.9,39.09
BUM,5000,10,11573.3,39.09
RQ,5000,1,11585.0,1.3
RQ,5000,2,13552.5,2.02
RQ,5000,3,11381.9,1.39
RQ,5000,4,12011.1,1.33
RQ,5000,5,13266.9,1.77
RQ,5000,6,10800.8,1.12
RQ,5000,7,12728.9,1.62
RQ,5000,8,10906.0,1.38
RQ,5000,9,15617.5,2.5
RQ,5000,10,13205.1,1.81
QD3P,5000,1,8486.5,0.2
QD3P,5000,2,8634.5,0.2
QD3P,5000,3,8178.1,0.2
QD3P,5000,4,8300.7,0.2
QD3P,5000,5,8255.0,0.2
QD3P,5000,6,8776.4,0.25
QD3P,5000,7,8647.3,0.25
QD3P,5000,8,8826.0,0.25
QD3P,5000,9,8621.3,0.25
QD3P,5000,10,8817.7,0.25
